A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE,A,B,X
FA/0.83,Cs/0.17,,Pb/1,,,I/0.6,Br/0.4,,1.74,Spiro-OMeTAD,SnO2/PCBM,1.2,19.3,14.7,FA/Cs,Pb,I/Br
FA/0.825,Cs/0.175,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,12.7,FA/Cs,Pb,I/Br
FA/0.83,Cs/0.2,,Pb/1,,,I/0.6,Br/0.4,,1.74,Spiro-OMeTAD,SnO2/PCBM,,,10.5,FA/Cs,Pb,I/Br
FA/0.7,Cs/0.3,,Pb/1,,,I/0.6,Br/0.4,,1.75,Spiro-OMeTAD,SnO2/PCBM,,,9.6,FA/Cs,Pb,I/Br
FA/0.6,Cs/0.4,,Pb/1,,,I/0.6,Br/0.4,,1.78,Spiro-OMeTAD,SnO2/PCBM,,,8.9,FA/Cs,Pb,I/Br
FA/0.5,Cs/0.5,,Pb/1,,,I/0.6,Br/0.4,,1.8,Spiro-OMeTAD,SnO2/PCBM,,,7.8,FA/Cs,Pb,I/Br
FA/1,,,Pb/1,,,I/1,,,,,,0.809,21.4,10.4,FA/Cs,Pb,I/Br
FA/0.8,Cs/0.2,,Pb/1,,,I/1,,,,,,1.017,21.5,15.69,FA,Pb,I
FA/0.8,Cs/0.2,,Pb/1,,,I/0.947,Br/0.053,,,,,1.073,21.9,17.35,FA/Cs,Pb,I
FA/1,,,Pb/1,,,I/1,,,,,,0.99,13.5,4.8,FA/Cs,Pb,I/Br
FA/0.833,MA/0.167,,Pb/1,,,I/1,,,,,,0.92,21.5,12.1,FA,Pb,I
FA/0.667,MA/0.333,,Pb/1,,,I/1,,,,,,0.97,22.7,13.9,FA/MA,Pb,I
FA/0.50,MA/0.50,,Pb/1,,,I/1,,,,,,0.96,19.6,12.8,FA/MA,Pb,I
FA/0.333,MA/0.667,,Pb/1,,,I/1,,,,,,1,22.3,14.3,FA/MA,Pb,I
FA/0.167,MA/0.167,,Pb/1,,,I/1,,,,,,1.05,18.8,11.8,FA/MA,Pb,I
,MA/1,,Pb/1,,,I/1,,,,,,0.91,21.2,10.3,FA/MA,Pb,I
FA/1,,,Pb/1,,,I/0.833,Br/0.167,,,,,1.2,14.3,9.6,MA,Pb,I
FA/0.833,MA/0.167,,Pb/1,,,I/0.833,Br/0.167,,,,,1.1,22.7,17.4,FA,Pb,I
FA/0.667,MA/0.333,,Pb/1,,,I/0.833,Br/0.167,,,,,1.14,23.7,20.7,FA/MA,Pb,I/Br
FA/0.50,MA/0.50,,Pb/1,,,I/0.833,Br/0.167,,,,,1.04,20.4,12.9,FA/MA,Pb,I/Br
FA/0.333,MA/0.667,,Pb/1,,,I/0.833,Br/0.167,,,,,0.91,18.7,11,FA/MA,Pb,I/Br
FA/0.167,MA/0.167,,Pb/1,,,I/0.833,Br/0.167,,,,,1.04,22.7,16,FA/MA,Pb,I/Br
