A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE
MA/1,,,Pb/0.984,Ni/0.016,,I/1,,,,,,,,9.95
MA/1,,,Pb/0.969,Ni/0.031,,I/1,,,,,,,,8.53
MA/1,,,Pb/0.938,Ni/0.062,,I/1,,,,,,,,6.01
MA/1,,,Pb/0.875,Ni/0.125,,I/1,,,,,,,,0.06
MA/1,,,Pb/0.75,Ni/0.25,,I/1,,,,,,,,0.04
MA/1,,,Pb/0.984,Sn/0.016,,I/1,,,,,,,,2.32
MA/1,,,Pb/0.969,Sn/0.031,,I/1,,,,,,,,5.3
MA/1,,,Pb/0.938,Sn/0.062,,I/1,,,,,,,,2.38
MA/1,,,Pb/0.875,Sn/0.125,,I/1,,,,,,,,4.89
MA/1,,,Pb/0.75,Sn/0.25,,I/1,,,,,,,,9.25
MA/1,,,Pb/0.984,Sr/0.016,,I/1,,,,,,,,10.81
MA/1,,,Pb/0.969,Sr/0.031,,I/1,,,,,,,,9.29
MA/1,,,Pb/0.938,Sr/0.062,,I/1,,,,,,,,5.58
MA/1,,,Pb/0.875,Sr/0.125,,I/1,,,,,,,,1.16
MA/1,,,Pb/0.75,Sr/0.25,,I/1,,,,,,,,0.21
MA/1,,,Pb/0.984,Zn/0.016,,I/1,,,,,,,,10.62
MA/1,,,Pb/0.969,Zn/0.031,,I/1,,,,,,,,10.41
MA/1,,,Pb/0.938,Zn/0.062,,I/1,,,,,,,,7.69
MA/1,,,Pb/0.875,Zn/0.125,,I/1,,,,,,,,9.88
MA/1,,,Pb/0.75,Zn/0.25,,I/1,,,,,,,,6.04
MA/1,,,Sn/1,,,I/1,,,,,,0.68,16.6,5.23
MA/1,,,Sn/1,,,I/0.667,Br/0.333,,,,,0.77,13.96,5.48
MA/1,,,Sn/1,,,I/0.333,Br/0.667,,,,,0.82,11.73,5.73
MA/1,,,Sn/1,,,I/0,Br/1.0,,,,,0.88,7.93,4.27
FA/1,,,Sn/1,,,I/1,,,,,,0.457,22.07,6.07
Cs/1,,,Ge/1,,,I/1,,,,,,0.074,5.7,0.11
MA/1,,,Ge/1,,,I/1,,,,,,0.15,4,0.2
FA/1,,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,5.8
FA/0.9,Cs/0.17,,Pb/1,,,I/0.6,Br/0.4,,1.7,Spiro-OMeTAD,SnO2/PCBM,,,12.1
FA/0.875,Cs/0.125,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,11.8
FA/0.85,Cs/0.15,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,13
FA/0.83,Cs/0.17,,Pb/1,,,I/0.6,Br/0.4,,1.74,Spiro-OMeTAD,SnO2/PCBM,1.2,19.3,14.7
FA/0.825,Cs/0.175,,Pb/1,,,I/0.6,Br/0.4,,,Spiro-OMeTAD,SnO2/PCBM,,,12.7
FA/0.83,Cs/0.2,,Pb/1,,,I/0.6,Br/0.4,,1.74,Spiro-OMeTAD,SnO2/PCBM,,,10.5
FA/0.7,Cs/0.3,,Pb/1,,,I/0.6,Br/0.4,,1.75,Spiro-OMeTAD,SnO2/PCBM,,,9.6
FA/0.6,Cs/0.4,,Pb/1,,,I/0.6,Br/0.4,,1.78,Spiro-OMeTAD,SnO2/PCBM,,,8.9
FA/0.5,Cs/0.5,,Pb/1,,,I/0.6,Br/0.4,,1.8,Spiro-OMeTAD,SnO2/PCBM,,,7.8
FA/0.8,Cs/0.2,,Pb/1,,,I/1,,,,,,1.017,21.5,15.69
FA/0.8,Cs/0.2,,Pb/1,,,I/0.947,Br/0.053,,,,,1.073,21.9,17.35
FA/1,MA/0,,Pb/1,,,I/1,Br/0,,,,,0.99,13.5,4.8
FA/0.833,MA/0.167,,Pb/1,,,I/1,Br/0,,,,,0.92,21.5,12.1
FA/0.667,MA/0.333,,Pb/1,,,I/1,Br/0,,,,,0.97,22.7,13.9
FA/0.50,MA/0.50,,Pb/1,,,I/1,Br/0,,,,,0.96,19.6,12.8
FA/0.333,MA/0.667,,Pb/1,,,I/1,Br/0,,,,,1,22.3,14.3
FA/0.167,MA/0.167,,Pb/1,,,I/1,Br/0,,,,,1.05,18.8,11.8
FA/0.0,MA/1,,Pb/1,,,I/1,Br/0,,,,,0.91,21.2,10.3
FA/1,MA/0,,Pb/1,,,I/0.833,Br/0.167,,,,,1.2,14.3,9.6
FA/0.833,MA/0.167,,Pb/1,,,I/0.833,Br/0.167,,,,,1.1,22.7,17.4
FA/0.667,MA/0.333,,Pb/1,,,I/0.833,Br/0.167,,,,,1.14,23.7,20.7
FA/0.50,MA/0.50,,Pb/1,,,I/0.833,Br/0.167,,,,,1.04,20.4,12.9
FA/0.333,MA/0.667,,Pb/1,,,I/0.833,Br/0.167,,,,,0.91,18.7,11
FA/0.167,MA/0.167,,Pb/1,,,I/0.833,Br/0.167,,,,,1.04,22.7,16
FA/0.0,MA/1,,Pb/1,,,I/0.833,Br/0.167,,,,,1.1,18.3,13.2
FA/1,MA/0,,Pb/1,,,I/0.667,Br/0.333,,,,,0.99,3.9,1.9
FA/0.833,MA/0.167,,Pb/1,,,I/0.667,Br/0.333,,,,,1.18,19.1,14.7
FA/0.667,MA/0.333,,Pb/1,,,I/0.667,Br/0.333,,,,,1.15,21.4,18.5
FA/0.50,MA/0.50,,Pb/1,,,I/0.667,Br/0.333,,,,,1.1,2,15.3
FA/0.333,MA/0.667,,Pb/1,,,I/0.667,Br/0.333,,,,,1.17,20.4,17.5
FA/0.167,MA/0.167,,Pb/1,,,I/0.667,Br/0.333,,,,,1.12,16.7,12.2
FA/0.0,MA/1,,Pb/1,,,I/0.667,Br/0.333,,,,,0.96,13.2,8.5
FA/1,MA/0,,Pb/1,,,I/0.5,Br/0.5,,,,,1.06,7.1,3.7
FA/0.833,MA/0.167,,Pb/1,,,I/0.5,Br/0.5,,,,,1.15,15.6,11.4
FA/0.667,MA/0.333,,Pb/1,,,I/0.5,Br/0.5,,,,,1.11,15.3,11.7
FA/0.50,MA/0.50,,Pb/1,,,I/0.5,Br/0.5,,,,,1.09,15.5,11.9
FA/0.333,MA/0.667,,Pb/1,,,I/0.5,Br/0.5,,,,,1.13,13.9,10.7
FA/0.167,MA/0.167,,Pb/1,,,I/0.5,Br/0.5,,,,,1.07,10.3,8.7
FA/0.0,MA/1,,Pb/1,,,I/0.5,Br/0.5,,,,,1.12,6.6,8.6
FA/1,MA/0,,Pb/1,,,I/0.333,Br/0.667,,,,,1.14,12.8,7.5
FA/0.833,MA/0.167,,Pb/1,,,I/0.333,Br/0.667,,,,,0.98,11.1,5.8
FA/0.667,MA/0.333,,Pb/1,,,I/0.333,Br/0.667,,,,,1,9.5,5.6
FA/0.50,MA/0.50,,Pb/1,,,I/0.333,Br/0.667,,,,,1.03,12.6,7.9
FA/0.333,MA/0.667,,Pb/1,,,I/0.333,Br/0.667,,,,,1.08,9,6.2
FA/0.167,MA/0.167,,Pb/1,,,I/0.333,Br/0.667,,,,,0.94,5.1,3.5
FA/0.0,MA/1,,Pb/1,,,I/0.333,Br/0.667,,,,,1.1,4,6.3
FA/1,MA/0,,Pb/1,,,I/0.167,Br/0.833,,,,,1.06,9.7,5
FA/0.833,MA/0.167,,Pb/1,,,I/0.167,Br/0.833,,,,,0.88,8.8,3.3
FA/0.667,MA/0.333,,Pb/1,,,I/0.167,Br/0.833,,,,,0.92,7.2,3.4
FA/0.50,MA/0.50,,Pb/1,,,I/0.167,Br/0.833,,,,,0.98,6.9,3.9
FA/0.333,MA/0.667,,Pb/1,,,I/0.167,Br/0.833,,,,,0.99,4.4,2.9
FA/0.167,MA/0.167,,Pb/1,,,I/0.167,Br/0.833,,,,,0.95,2.8,2.3
FA/0.0,MA/1,,Pb/1,,,I/0.167,Br/0.833,,,,,1.07,3,3.5
FA/1,MA/0,,Pb/1,,,I/0,Br/1.0,,,,,1.14,7.5,5
FA/0.833,MA/0.167,,Pb/1,,,I/0,Br/1.0,,,,,1.42,7,6.5
FA/0.667,MA/0.333,,Pb/1,,,I/0,Br/1.0,,,,,1.35,7,5.5
FA/0.50,MA/0.50,,Pb/1,,,I/0,Br/1.0,,,,,1.39,7,7.1
FA/0.333,MA/0.667,,Pb/1,,,I/0,Br/1.0,,,,,1.35,6.4,6.4
FA/0.167,MA/0.167,,Pb/1,,,I/0,Br/1.0,,,,,1.37,6.3,7.1
FA/0.0,MA/1,,Pb/1,,,I/0,Br/1.0,,,,,1.41,5.9,5.6
