,"ABX3 (A=Cs,Ru,FA,MA,etc.; B=Pb,Sn,Ge,etc.; X=I,Br,Cl,BF4,PF6,SCN,etc.)",,,,,,,,,,,,,,,,,,,,
Formula,A_1,A_2,A_3,B_1,B_2,B_3,X_1,X_2,X_3,E_g,HTL,ETL,Voc(volts) ,Jsc,Max PCE,UV-Vis,Stability,Reference,A,B,X
,MA/1,,,Pb/1,,,I/1,,,,,,,,15.6,,,,MA,Pb,I
,MA/1,,,Pb/1,,,I/0.97,Br/0.03,,,,,,,16.31,,,,MA,Pb,I/Br
,MA/1,,,Pb/1,,,I/0.963,Br/0.037,,,,,,,16.75,,,Huang2017_44603,MA,Pb,I/Br
,MA/1,,,Pb/1,,,I/0.953,Br/0.047,,,,,1.064,23.52,18.02,,,,MA,Pb,I/Br
,MA/1,,,Pb/1,,,I/0.933,Br/0.067,,,,,,,17.11,,,,MA,Pb,I/Br
,MA/1,,,Pb/1,,,I/0.667,Br/0.333,,,,,,,3.83,,,,MA,Pb,I/Br
,MA/1,,,Pb/1,,,I/1,,,,,,,,10.27,,,,MA,Pb,I
,MA/1,,,Pb/0.984,Co/0.016,,I/1,,,,,,,,11.37,,,,MA,Pb/Co,I
,MA/1,,,Pb/0.969,Co/0.031,,I/1,,,,,,,,11.11,,,,MA,Pb/Co,I
,MA/1,,,Pb/0.938,Co/0.062,,I/1,,,,,,,,10.21,,,,MA,Pb/Co,I
,MA/1,,,Pb/0.875,Co/0.125,,I/1,,,,,,,,8.66,,,,MA,Pb/Co,I
,MA/1,,,Pb/0.75,Co/0.25,,I/1,,,,,,,,4.14,,,,MA,Pb/Co,I
,MA/1,,,Pb/0.984,Cu/0.016,,I/1,,,,,,,,10.14,,,,MA,Pb/Cu,I
,MA/1,,,Pb/0.969,Cu/0.031,,I/1,,,,,,,,8.37,,,,MA,Pb/Cu,I
,MA/1,,,Pb/0.938,Cu/0.062,,I/1,,,,,,,,6.57,,,,MA,Pb/Cu,I
,MA/1,,,Pb/0.875,Cu/0.125,,I/1,,,,,,,,5.46,,,,MA,Pb/Cu,I
,MA/1,,,Pb/0.75,Cu/0.25,,I/1,,,,,,,,8.29,,,,MA,Pb/Cu,I
,MA/1,,,Pb/0.984,Fe/0.016,,I/1,,,,,,,,1.78,,,,MA,Pb/Fe,I
,MA/1,,,Pb/0.969,Fe/0.031,,I/1,,,,,,,,1.75,,,,MA,Pb/Fe,I
,MA/1,,,Pb/0.938,Fe/0.062,,I/1,,,,,,,,2.29,,,,MA,Pb/Fe,I
